@relation 'train_cleaned_expanded-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,9,10,11,12,13,14,2'

@attribute PassengerId numeric
@attribute Pclass numeric
@attribute Sex {male,female}
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute Embarked {S,C,Q}
@attribute Gender numeric
@attribute AgeFill numeric
@attribute AgeIsNull numeric
@attribute FamilySize numeric
@attribute Age*Class numeric
@attribute Survived {0,1}

@data
1,3,male,1,0,7.25,S,1,22,0,1,66,0
2,1,female,1,0,71.2833,C,0,38,0,1,38,1
3,3,female,0,0,7.925,S,0,26,0,0,78,1
4,1,female,1,0,53.1,S,0,35,0,1,35,1
5,3,male,0,0,8.05,S,1,35,0,0,105,0
6,3,male,0,0,8.4583,Q,1,25,1,0,75,0
7,1,male,0,0,51.8625,S,1,54,0,0,54,0
8,3,male,3,1,21.075,S,1,2,0,4,6,0
9,3,female,0,2,11.1333,S,0,27,0,2,81,1
10,2,female,1,0,30.0708,C,0,14,0,1,28,1
11,3,female,1,1,16.7,S,0,4,0,2,12,1
12,1,female,0,0,26.55,S,0,58,0,0,58,1
13,3,male,0,0,8.05,S,1,20,0,0,60,0
14,3,male,1,5,31.275,S,1,39,0,6,117,0
15,3,female,0,0,7.8542,S,0,14,0,0,42,0
16,2,female,0,0,16,S,0,55,0,0,110,1
17,3,male,4,1,29.125,Q,1,2,0,5,6,0
18,2,male,0,0,13,S,1,30,1,0,60,1
19,3,female,1,0,18,S,0,31,0,1,93,0
20,3,female,0,0,7.225,C,0,21.5,1,0,64.5,1
21,2,male,0,0,26,S,1,35,0,0,70,0
22,2,male,0,0,13,S,1,34,0,0,68,1
23,3,female,0,0,8.0292,Q,0,15,0,0,45,1
24,1,male,0,0,35.5,S,1,28,0,0,28,1
25,3,female,3,1,21.075,S,0,8,0,4,24,0
26,3,female,1,5,31.3875,S,0,38,0,6,114,1
27,3,male,0,0,7.225,C,1,25,1,0,75,0
28,1,male,3,2,263,S,1,19,0,5,19,0
29,3,female,0,0,7.8792,Q,0,21.5,1,0,64.5,1
30,3,male,0,0,7.8958,S,1,25,1,0,75,0
31,1,male,0,0,27.7208,C,1,40,0,0,40,0
32,1,female,1,0,146.5208,C,0,35,1,1,35,1
33,3,female,0,0,7.75,Q,0,21.5,1,0,64.5,1
34,2,male,0,0,10.5,S,1,66,0,0,132,0
35,1,male,1,0,82.1708,C,1,28,0,1,28,0
36,1,male,1,0,52,S,1,42,0,1,42,0
37,3,male,0,0,7.2292,C,1,25,1,0,75,1
38,3,male,0,0,8.05,S,1,21,0,0,63,0
39,3,female,2,0,18,S,0,18,0,2,54,0
40,3,female,1,0,11.2417,C,0,14,0,1,42,1
41,3,female,1,0,9.475,S,0,40,0,1,120,0
42,2,female,1,0,21,S,0,27,0,1,54,0
43,3,male,0,0,7.8958,C,1,25,1,0,75,0
44,2,female,1,2,41.5792,C,0,3,0,3,6,1
45,3,female,0,0,7.8792,Q,0,19,0,0,57,1
46,3,male,0,0,8.05,S,1,25,1,0,75,0
47,3,male,1,0,15.5,Q,1,25,1,1,75,0
48,3,female,0,0,7.75,Q,0,21.5,1,0,64.5,1
49,3,male,2,0,21.6792,C,1,25,1,2,75,0
50,3,female,1,0,17.8,S,0,18,0,1,54,0
51,3,male,4,1,39.6875,S,1,7,0,5,21,0
52,3,male,0,0,7.8,S,1,21,0,0,63,0
53,1,female,1,0,76.7292,C,0,49,0,1,49,1
54,2,female,1,0,26,S,0,29,0,1,58,1
55,1,male,0,1,61.9792,C,1,65,0,1,65,0
56,1,male,0,0,35.5,S,1,40,1,0,40,1
57,2,female,0,0,10.5,S,0,21,0,0,42,1
58,3,male,0,0,7.2292,C,1,28.5,0,0,85.5,0
59,2,female,1,2,27.75,S,0,5,0,3,10,1
60,3,male,5,2,46.9,S,1,11,0,7,33,0
61,3,male,0,0,7.2292,C,1,22,0,0,66,0
62,1,female,0,0,80,?,0,38,0,0,38,1
63,1,male,1,0,83.475,S,1,45,0,1,45,0
64,3,male,3,2,27.9,S,1,4,0,5,12,0
65,1,male,0,0,27.7208,C,1,40,1,0,40,0
66,3,male,1,1,15.2458,C,1,25,1,2,75,1
67,2,female,0,0,10.5,S,0,29,0,0,58,1
68,3,male,0,0,8.1583,S,1,19,0,0,57,0
69,3,female,4,2,7.925,S,0,17,0,6,51,1
70,3,male,2,0,8.6625,S,1,26,0,2,78,0
71,2,male,0,0,10.5,S,1,32,0,0,64,0
72,3,female,5,2,46.9,S,0,16,0,7,48,0
73,2,male,0,0,73.5,S,1,21,0,0,42,0
74,3,male,1,0,14.4542,C,1,26,0,1,78,0
75,3,male,0,0,56.4958,S,1,32,0,0,96,1
76,3,male,0,0,7.65,S,1,25,0,0,75,0
77,3,male,0,0,7.8958,S,1,25,1,0,75,0
78,3,male,0,0,8.05,S,1,25,1,0,75,0
79,2,male,0,2,29,S,1,0.83,0,2,1.66,1
80,3,female,0,0,12.475,S,0,30,0,0,90,1
81,3,male,0,0,9,S,1,22,0,0,66,0
82,3,male,0,0,9.5,S,1,29,0,0,87,1
83,3,female,0,0,7.7875,Q,0,21.5,1,0,64.5,1
84,1,male,0,0,47.1,S,1,28,0,0,28,0
85,2,female,0,0,10.5,S,0,17,0,0,34,1
